YEAR,YEAR,"""Crude oil loaded""","""Other tanker trade loaded""","""Dry cargo loaded""","""Total goods loaded""","""Crude oil unloaded""","""Other tanker trade unloaded"""
"""1970""","""1970""",1207,233,1165,2605,1101,298
"""1971""","""1971""",1210,320,1162,2692,1199,300
"""1972""","""1972""",1321,332,1221,2874,1325,316
"""1973""","""1973""",1514,353,1407,3274,1521,339
"""1974""","""1974""",1497,335,1472,3304,1470,312
"""1975""","""1975""",1364,280,1428,3072,1373,287
"""1976""","""1976""",1555,289,1522,3366,1522,312
"""1977""","""1977""",1599,293,1576,3468,1585,321
"""1978""","""1978""",1604,296,1650,3550,1634,321
"""1979""","""1979""",1725,318,1785,3828,1724,308
"""1980""","""1980""",1527,344,1833,3704,1530,326
"""1981""","""1981""",1364,327,1864,3555,1363,310
"""1982""","""1982""",1163,350,1760,3273,1283,330
"""1983""","""1983""",1069,392,1770,3231,1133,349
"""1984""","""1984""",1079,399,1886,3364,1166,371
"""1985""","""1985""",1049,410,1895,3330,1128,367
"""1986""","""1986""",1126,424,1835,3385,1220,390
"""1987""","""1987""",1107,441,1987,3505,1110,408
"""1988""","""1988""",1160,456,2119,3735,1194,422
"""1989""","""1989""",1260,468,2212,3940,1300,433
"""1990""","""1990""",1287,468,2253,4008,1315,466
"""1991""","""1991""",1333,457,2330,4120,1355,441
"""1992""","""1992""",1394,466,2360,4220,1414,451
"""1993""","""1993""",1443,502,2385,4330,1465,480
"""1994""","""1994""",1498,509,2478,4485,1508,490
"""1995""","""1995""",1532,518,2601,4651,1550,508
"""1996""","""1996""",1590,537,2631,4758,1599,480
"""1997""","""1997""",1626,546,2781,4953,1625,522
"""1998""","""1998""",1548,534,3549,5631,1515,548
"""1999""","""1999""",1553,532,3598,5683,1543,510
"""2000""","""2000""",1605,558,3821,5984,1633,513
"""2001""","""2001""",1678,499,3844,6020,1712,534
"""2002""","""2002""",1637,509,3981,6127,1696,540
"""2003""","""2003""",1690,533,4257,6480,1743,536
"""2004""","""2004""",1770,546,4442,6758,1773,545
"""2005""","""2005""",1857,565,4687,7109,1854,573
"""2006""","""2006""",1783.415,914.9099,5003.782,7702.107,1939.89,897.1749
"""2007""","""2007""",1813.685,933.6598,5288.885,8036.231,1996.193,901.6196
"""2008""","""2008""",1784.849,957.1575,5485.523,8227.529000000001,1942.79,932.775
"""2009""","""2009""",1710.139,931.1412,5176.829,7818.109,1874.597,922.6986000000001
"""2010""","""2010""",1784.592,967.7164,5648.615,8400.924000000001,1939.385,970.5974
"""2011""","""2011""",1750.981,1028.474,5959.098,8738.553,1897.015,1039.307
"""2012""","""2012""",1785.425,1054.708,6357.247,9197.380999999999,1930.007,1055.843
"""2013""","""2013""",1737.674,1090.582,6624.669,9452.926,1881.765,1090.664
"""2014""","""2014""",1711.701,1121.5,6983.243,9816.442999999999,1850.156,1087.559
"""2015""","""2015""",1760.751,1178.05,7074.325,10013.13,1909.958,1175.469
"""2016""","""2016""",1832.259,1238.107,7176.248,10246.61,1985.472,1234.766
"""2017""","""2017""",1874.572,1279.015,7560.303,10713.89,2033.454,1287.885
"""2018""","""2018""",1881.053,1319.745,7818.362,11019.16,2048.803,1338.55
"""2019""","""2019""",1860.158,1308.362,7907.397,11075.92,2033.371,1329.322
