,Period Label,Annual average growth rate per capita,Annual average growth rate
0,1971,2.2902,4.373
1,1972,3.36798,5.44756
2,1973,4.34527,6.40767
3,1974,0.21898,2.16068
4,1975,-1.11237,0.75592
5,1976,3.38993,5.29551
6,1977,2.28837,4.13254
7,1978,2.41505,4.23203
8,1979,2.24426,4.04878
9,1980,0.10961,1.88179
10,1981,0.06192,1.83546
11,1982,-1.33793,0.41298
12,1983,1.02375,2.82208
13,1984,2.79043,4.63662
14,1985,1.69672,3.54496
15,1986,1.40831,3.2754
16,1987,1.78266,3.6698
17,1988,2.63412,4.52103
18,1989,1.84365,3.66509
19,1990,1.27881,2.97593
20,1991,-0.3291,1.2997
21,1992,0.50752,2.07856
22,1993,0.26361,1.7711
23,1992 - 1995,1.28226,2.7659
24,1994,1.79064,3.27785
25,1995,1.63051,3.08514
26,1996,2.15273,3.58732
27,1995 - 2000,2.19836,3.5804
28,1997,2.54379,3.95464
29,1998,1.4807,2.85095
30,1999,2.14784,3.50349
31,2000,3.07319,4.41992
32,2001,0.7948,2.09272
33,2000 - 2005,1.93609,3.22397
34,2002,0.99318,2.27731
35,2003,1.84293,3.12591
36,2004,3.19033,4.48326
37,2005,2.77619,4.0604
38,2006,3.23917,4.527
39,2005 - 2010,1.23655,2.4899
40,2007,3.10772,4.39093
41,2008,0.77746,2.02708
42,2009,-2.47288,-1.2706
43,2010,3.18014,4.44231
44,2011,2.03919,3.27661
45,2010 - 2015,1.73701,2.9454
46,2012,1.53483,2.75537
47,2013,1.54397,2.75163
48,2014,1.85042,3.04673
49,2015,1.9257,3.1062
50,2014 - 2019,1.84587,2.98795
51,2016,1.53512,2.69386
52,2017,2.21689,3.36496
53,2018,2.00908,3.13394
54,2019,1.33778,2.43169
