,YEAR,"""Crude oil loaded""","""Other tanker trade loaded""","""Dry cargo loaded""","""Total goods loaded""","""Crude oil unloaded""","""Other tanker trade unloaded"""
0,1970-01-01,1207.0,233.0,1165.0,2605.0,1101.0,298.0
1,1971-01-01,1210.0,320.0,1162.0,2692.0,1199.0,300.0
2,1972-01-01,1321.0,332.0,1221.0,2874.0,1325.0,316.0
3,1973-01-01,1514.0,353.0,1407.0,3274.0,1521.0,339.0
4,1974-01-01,1497.0,335.0,1472.0,3304.0,1470.0,312.0
5,1975-01-01,1364.0,280.0,1428.0,3072.0,1373.0,287.0
6,1976-01-01,1555.0,289.0,1522.0,3366.0,1522.0,312.0
7,1977-01-01,1599.0,293.0,1576.0,3468.0,1585.0,321.0
8,1978-01-01,1604.0,296.0,1650.0,3550.0,1634.0,321.0
9,1979-01-01,1725.0,318.0,1785.0,3828.0,1724.0,308.0
10,1980-01-01,1527.0,344.0,1833.0,3704.0,1530.0,326.0
11,1981-01-01,1364.0,327.0,1864.0,3555.0,1363.0,310.0
12,1982-01-01,1163.0,350.0,1760.0,3273.0,1283.0,330.0
13,1983-01-01,1069.0,392.0,1770.0,3231.0,1133.0,349.0
14,1984-01-01,1079.0,399.0,1886.0,3364.0,1166.0,371.0
15,1985-01-01,1049.0,410.0,1895.0,3330.0,1128.0,367.0
16,1986-01-01,1126.0,424.0,1835.0,3385.0,1220.0,390.0
17,1987-01-01,1107.0,441.0,1987.0,3505.0,1110.0,408.0
18,1988-01-01,1160.0,456.0,2119.0,3735.0,1194.0,422.0
19,1989-01-01,1260.0,468.0,2212.0,3940.0,1300.0,433.0
20,1990-01-01,1287.0,468.0,2253.0,4008.0,1315.0,466.0
21,1991-01-01,1333.0,457.0,2330.0,4120.0,1355.0,441.0
22,1992-01-01,1394.0,466.0,2360.0,4220.0,1414.0,451.0
23,1993-01-01,1443.0,502.0,2385.0,4330.0,1465.0,480.0
24,1994-01-01,1498.0,509.0,2478.0,4485.0,1508.0,490.0
25,1995-01-01,1532.0,518.0,2601.0,4651.0,1550.0,508.0
26,1996-01-01,1590.0,537.0,2631.0,4758.0,1599.0,480.0
27,1997-01-01,1626.0,546.0,2781.0,4953.0,1625.0,522.0
28,1998-01-01,1548.0,534.0,3549.0,5631.0,1515.0,548.0
29,1999-01-01,1553.0,532.0,3598.0,5683.0,1543.0,510.0
30,2000-01-01,1605.0,558.0,3821.0,5984.0,1633.0,513.0
31,2001-01-01,1678.0,499.0,3844.0,6020.0,1712.0,534.0
32,2002-01-01,1637.0,509.0,3981.0,6127.0,1696.0,540.0
33,2003-01-01,1690.0,533.0,4257.0,6480.0,1743.0,536.0
34,2004-01-01,1770.0,546.0,4442.0,6758.0,1773.0,545.0
35,2005-01-01,1857.0,565.0,4687.0,7109.0,1854.0,573.0
36,2006-01-01,1783.415,914.9099,5003.782,7702.107,1939.89,897.1749
37,2007-01-01,1813.685,933.6598,5288.885,8036.231,1996.193,901.6196
38,2008-01-01,1784.849,957.1575,5485.523,8227.529,1942.79,932.775
39,2009-01-01,1710.139,931.1412,5176.829,7818.109,1874.597,922.6986
40,2010-01-01,1784.592,967.7164,5648.615,8400.924,1939.385,970.5974
41,2011-01-01,1750.981,1028.474,5959.098,8738.553,1897.015,1039.307
42,2012-01-01,1785.425,1054.708,6357.247,9197.381,1930.007,1055.843
43,2013-01-01,1737.674,1090.582,6624.669,9452.926,1881.765,1090.664
44,2014-01-01,1711.701,1121.5,6983.243,9816.443,1850.156,1087.559
45,2015-01-01,1760.751,1178.05,7074.325,10013.13,1909.958,1175.469
46,2016-01-01,1832.259,1238.107,7176.248,10246.61,1985.472,1234.766
47,2017-01-01,1874.572,1279.015,7560.303,10713.89,2033.454,1287.885
48,2018-01-01,1881.053,1319.745,7818.362,11019.16,2048.803,1338.55
49,2019-01-01,1860.158,1308.362,7907.397,11075.92,2033.371,1329.322
